"segment_id","forecast_month","gross_recovery_for_month"
"subprime_q1",59,"413.59464233190000"
"subprime_q1",60,"460.40647218740000"
"subprime_q1",61,"506.93173340160000"
"subprime_q1",62,"549.95658377240000"
"subprime_q1",63,"596.09424285720000"
"subprime_q1",64,"645.73182860550000"
"subprime_q1",65,"708.00915118860000"
"subprime_q1",66,"754.64806175880000"
"subprime_q1",67,"780.49014759680000"
"subprime_q1",68,"836.70541962720000"
"subprime_q1",69,"923.23037472920000"
"subprime_q1",70,"1005.47834309080000"
"subprime_q1",71,"1090.06346976680000"
"subprime_q1",72,"1166.01687496580000"
"subprime_q1",73,"1248.08466000900000"
"subprime_q1",74,"1303.26361351250000"
"subprime_q1",75,"1355.77676709640000"
"subprime_q1",76,"1387.79936574600000"
"subprime_q1",77,"1413.33900423120000"
"subprime_q1",78,"1439.26736729040000"
"subprime_q1",79,"1462.34160125900000"
"subprime_q1",80,"1488.13593351780000"
"subprime_q1",81,"1521.87689563000000"
"subprime_q1",82,"1546.17053102160000"
"subprime_q1",83,"1577.43746772720000"
"subprime_q1",84,"1637.45504055000000"
"subprime_q2",11,"12.39774627040000"
"subprime_q2",12,"81.91051469180000"
"subprime_q2",13,"124.74583902810000"
"subprime_q2",14,"147.55002683520000"
"subprime_q2",15,"196.32644592370000"
"subprime_q2",16,"248.49099891000000"
"subprime_q2",17,"250.07429674880000"
"subprime_q2",18,"265.07718005470000"
"subprime_q2",19,"308.59949085050000"
"subprime_q2",20,"347.62679904960000"
"subprime_q2",21,"369.11351636000000"
"subprime_q2",22,"394.26919528500000"
"subprime_q2",23,"433.23882671700000"
"subprime_q2",24,"470.23980066700000"
"subprime_q2",25,"469.96613132000000"
"subprime_q2",26,"487.11073504960000"
"subprime_q2",27,"495.60991900220000"
"subprime_q2",28,"507.63617772040000"
"subprime_q2",29,"497.58272231790000"
"subprime_q2",30,"493.47670153500000"
"subprime_q2",31,"494.29820840880000"
"subprime_q2",32,"494.93770564980000"
"subprime_q2",33,"497.87318002160000"
"subprime_q2",34,"488.01401904720000"
"subprime_q2",35,"486.02800016800000"
"subprime_q2",36,"481.17554296630000"
"subprime_q2",37,"478.89316943580000"
"subprime_q2",38,"482.00945922250000"
"subprime_q2",39,"477.59176130940000"
"subprime_q2",40,"468.13692282840000"
"subprime_q2",41,"460.58404860500000"
"subprime_q2",42,"452.57608118760000"
"subprime_q2",43,"446.32719386900000"
"subprime_q2",44,"443.38686349540000"
"subprime_q2",45,"437.01236784560000"
"subprime_q2",46,"431.76570207840000"
"subprime_q2",47,"427.46754827480000"
"subprime_q2",48,"421.75850863060000"
"subprime_q2",49,"427.70558790960000"
"subprime_q2",50,"425.84663087200000"
"subprime_q2",51,"430.04526525260000"
"subprime_q2",52,"434.94103881340000"
"subprime_q2",53,"448.27745930640000"
"subprime_q2",54,"460.94309262100000"
"subprime_q2",55,"465.11645489200000"
"subprime_q2",56,"470.03721913920000"
"subprime_q2",57,"477.48547765440000"
"subprime_q2",58,"483.67906611360000"
"subprime_q2",59,"500.15074405660000"
"subprime_q2",60,"523.74828669500000"
"subprime_q2",61,"560.75131213920000"
"subprime_q2",62,"603.42097184000000"
"subprime_q2",63,"631.17592171560000"
"subprime_q2",64,"671.23793231300000"
"subprime_q2",65,"731.94995397320000"
"subprime_q2",66,"776.32921920180000"
"subprime_q2",67,"807.34255134900000"
"subprime_q2",68,"846.81649926160000"
"subprime_q2",69,"900.92752619920000"
"subprime_q2",70,"954.22648535300000"
"subprime_q2",71,"1018.12659126800000"
"subprime_q2",72,"1109.18294319330000"
"subprime_q2",73,"1190.09748300300000"
"subprime_q2",74,"1252.98374363600000"
"subprime_q2",75,"1294.29880244480000"
"subprime_q2",76,"1322.45350356450000"
"subprime_q2",77,"1363.97161213200000"
"subprime_q2",78,"1415.73307942500000"
"subprime_q2",79,"1441.62257600900000"
"subprime_q2",80,"1452.20343592870000"
"subprime_q2",81,"1500.11107576530000"
"subprime_q2",82,"1587.07067087760000"
"subprime_q2",83,"1623.66890591520000"
"subprime_q2",84,"1705.79451861000000"
"subprime_q3",11,"15.56153691680000"
"subprime_q3",12,"40.20273801430000"
"subprime_q3",13,"83.17176770160000"
"subprime_q3",14,"111.86587702290000"
"subprime_q3",15,"127.99438797010000"
"subprime_q3",16,"149.32879724400000"
"subprime_q3",17,"181.45462941720000"
"subprime_q3",18,"202.72297907680000"
"subprime_q3",19,"226.58172757450000"
"subprime_q3",20,"228.06452874240000"
"subprime_q3",21,"252.11348854540000"
"subprime_q3",22,"248.53139205400000"
"subprime_q3",23,"258.23176291620000"
"subprime_q3",24,"269.65202304670000"
"subprime_q3",25,"278.54960607480000"
"subprime_q3",26,"299.43389805120000"
"subprime_q3",27,"324.01858896290000"
"subprime_q3",28,"338.37484209760000"
"subprime_q3",29,"331.67351438760000"
"subprime_q3",30,"339.08777652750000"
"subprime_q3",31,"380.94521380500000"
"subprime_q3",32,"398.27136516160000"
"subprime_q3",33,"404.46997374310000"
"subprime_q3",34,"430.77240201600000"
"subprime_q3",35,"470.22529489340000"
"subprime_q3",36,"460.91472326510000"
"subprime_q3",37,"464.91390986640000"
"subprime_q3",38,"464.11401268140000"
"subprime_q3",39,"454.92189212040000"
"subprime_q3",40,"447.69420514840000"
"subprime_q3",41,"438.82909667510000"
"subprime_q3",42,"430.83545915040000"
"subprime_q3",43,"425.77899837000000"
"subprime_q3",44,"417.34718315400000"
"subprime_q3",45,"413.60278280880000"
"subprime_q3",46,"406.01447147520000"
"subprime_q3",47,"413.30789515360000"
"subprime_q3",48,"421.09973442650000"
"subprime_q3",49,"419.96565985400000"
"subprime_q3",50,"419.88192755840000"
"subprime_q3",51,"440.01283224260000"
"subprime_q3",52,"436.82895507400000"
"subprime_q3",53,"440.31162736440000"
"subprime_q3",54,"439.84947520720000"
"subprime_q3",55,"447.74426251760000"
"subprime_q3",56,"458.90209191360000"
"subprime_q3",57,"459.58347639760000"
"subprime_q3",58,"477.09825106020000"
"subprime_q3",59,"513.37279655280000"
"subprime_q3",60,"543.88261824620000"
"subprime_q3",61,"576.73245450600000"
"subprime_q3",62,"623.35835977220000"
"subprime_q3",63,"673.83874564320000"
